# Sample number;Sensor position;AccX;AccY;AccZ;GyroX;GyroY;GyroZ;MagX;MagY;MagZ;Sensor position;AccX;AccY;AccZ;GyroX;GyroY;GyroZ;MagX;MagY;MagZ;Sensor position;AccX;AccY;AccZ;GyroX;GyroY;GyroZ;MagX;MagY;MagZ;Init algo done;Pause;
52;0;0.394713;2.275436;9.522750;-0.538232;-0.733441;-0.593063;0.098229;-0.306923;-0.619496;1;-0.801961;0.892633;9.774966;-0.641155;0.489585;-1.095181;0.007380;0.009178;-0.996774;6;9.724967;-0.984866;-0.419690;-0.340137;1.533477;-0.515466;-0.555426;-0.160871;0.304966;1;0;
53;0;0.398012;2.333602;9.693550;-1.089714;-0.611350;-0.742831;0.072617;-0.316074;-0.682345;1;-0.629696;1.117631;9.778783;-0.886126;0.669633;-0.970276;0.020576;-0.004996;-1.010396;6;9.545988;-1.101107;-0.543299;-1.080941;1.811798;-1.064240;-0.568779;-0.111672;0.286857;1;0;
54;0;0.512070;1.414213;9.635063;-1.029180;-0.577551;-0.987801;0.027269;-0.325878;-0.586182;1;-1.022313;1.400465;10.280314;-1.010560;0.606333;-0.909350;0.047043;-0.018022;-1.038644;6;9.958696;-0.927824;-0.534854;-1.140557;1.900824;-0.819948;-0.540821;-0.112916;0.318053;1;0;
55;0;0.458607;2.334284;9.865223;-1.061358;-0.854977;-0.930881;0.070731;-0.299117;-0.646949;1;-0.620695;0.836311;10.175023;-0.919436;0.484850;-0.910484;0.033552;-0.004921;-1.010672;6;10.019913;-0.927465;-0.413940;-0.517491;2.139249;0.001853;-0.554174;-0.063716;0.299944;1;0;
56;0;0.682057;2.332912;9.585411;-1.029673;-0.826535;-0.715833;0.069959;-0.271575;-0.653781;1;-0.692097;1.117549;9.551015;-0.916787;0.670449;-1.155261;0.008191;-0.002927;-1.038820;6;9.490429;-0.693451;-0.303041;0.528482;1.930151;-0.123189;-0.527126;-0.110233;0.271540;1;0;
57;0;0.975834;2.736484;9.990640;-0.876192;-0.826515;-0.654939;0.084866;-0.316791;-0.629807;1;-0.630905;1.117584;9.722143;-0.946707;0.732393;-1.308809;0.045863;-0.022310;-0.981245;6;9.545718;-0.984955;-0.542805;1.236080;2.246166;-0.860766;-0.555009;-0.128486;0.303292;1;0;
58;0;0.557568;2.273382;9.071265;-1.733461;-0.864383;-0.377074;0.070745;-0.316417;-0.629457;1;-0.629912;1.230292;9.778878;-1.011186;0.517157;-1.341829;0.020796;-0.019244;-1.023742;6;9.719600;-1.044178;-0.719471;1.726530;1.818737;-0.768814;-0.512797;-0.096315;0.317356;1;0;
59;0;0.509263;2.217912;9.524735;-1.888319;-1.079527;-0.441461;0.098615;-0.320694;-0.616080;1;-0.625315;0.723460;9.948370;-0.765861;0.424876;-0.818473;0.007525;-0.020391;-1.009117;6;9.782458;-1.275875;-0.539639;1.444097;0.957759;-0.427492;-0.582687;-0.111876;0.286787;1;0;
60;0;0.510335;2.275595;9.581830;-1.920420;-1.325874;-0.414704;0.098986;-0.317166;-0.630156;1;-0.398333;1.173578;9.840305;-0.456062;0.490528;-0.879227;0.033923;0.011471;-1.026025;6;10.495479;-0.985879;-0.225663;1.369294;-0.600950;-0.572596;-0.555288;-0.143853;0.288601;1;0;
61;0;0.628433;1.931586;9.753168;-1.861493;-1.600438;-0.572676;0.056624;-0.316042;-0.629108;1;-0.623544;1.061538;10.061933;-0.518006;0.488939;-0.755980;0.020652;0.010325;-1.011400;6;10.193930;-1.044764;-0.590854;2.400950;-1.900538;-1.731509;-0.541310;-0.144475;0.304199;1;0;
